bac,method,nsnp,beta,se,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,method_status,method_status_zh,fdr_bh,evidence_status,evidence_status_zh
genus.Faecalibacterium.id.2057,Inverse variance weighted,9,-0.210471475388647,0.0830876667603212,0.0113050515963449,-0.373323302238877,-0.0476196485384175,0.810202165525628,0.688442621819601,0.95349638185886,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
genus.Flavonifractor.id.2059,Inverse variance weighted,4,-0.270367558373701,0.116475647247458,0.020274067221789,-0.498659826978717,-0.0420752897686839,0.763098959371045,0.607344060666625,0.958797590206139,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
genus.LachnospiraceaeUCG001.id.11321,Inverse variance weighted,13,0.151315649455651,0.0685241751197858,0.0272297589239689,0.0170082662208707,0.285623032690431,1.16336381528731,1.01715373030788,1.33059077147578,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
genus.RuminococcaceaeUCG011.id.11368,Inverse variance weighted,8,-0.112453473563909,0.0511167765413438,0.0278116628588569,-0.212642355584942,-0.0122645915428747,0.893638923975582,0.808445221437055,0.987810312026704,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
genus.Methanobrevibacter.id.123,Inverse variance weighted,6,-0.143114449917951,0.0651161255053473,0.0279609207857775,-0.270742055908432,-0.01548684392747,0.866654874639916,0.76281323419703,0.984632460562589,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
genus.Butyrivibrio.id.1993,Inverse variance weighted,13,-0.0887736433433223,0.0409552481193136,0.0301909048212628,-0.169045929657177,-0.0085013570294676,0.915052678398756,0.844470116272365,0.991534677320278,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
class.Methanobacteria.id.119,Inverse variance weighted,10,-0.0923043087946192,0.0442411247025466,0.0369431696843185,-0.179016913211611,-0.0055917043776279,0.911827630154404,0.836091758280617,0.994423900102534,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
family.Methanobacteriaceae.id.121,Inverse variance weighted,10,-0.0923043087946192,0.0442411247025466,0.0369431696843185,-0.179016913211611,-0.0055917043776279,0.911827630154404,0.836091758280617,0.994423900102534,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
order.Methanobacteriales.id.120,Inverse variance weighted,10,-0.0923043087946192,0.0442411247025466,0.0369431696843185,-0.179016913211611,-0.0055917043776279,0.911827630154404,0.836091758280617,0.994423900102534,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
genus.Prevotella7.id.11182,Inverse variance weighted,11,0.0865148396224568,0.0429001824259506,0.0437315966631018,0.00243048206759358,0.17059919717732,1.09036754824048,1.0024334380835,1.18601529546835,OK,方法成功运行,0.922736689591449,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）
genus.Gordonibacter.id.821,Inverse variance weighted,10,-0.0866297629317215,0.0464392691341515,0.0621194753647504,-0.177650730434658,0.0043912045712155,0.917016546308331,0.83723479306016,1.00440086003788,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
genus..Eubacteriumcoprostanoligenesgroup.id.11375,Inverse variance weighted,13,0.159120553102328,0.0867661652775507,0.0666686982488266,-0.0109411308416712,0.329182237046328,1.17247928417633,0.989118505635383,1.38983111122723,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
genus.Barnesiella.id.944,Inverse variance weighted,12,0.149937954383173,0.0819359633186374,0.0672588060284019,-0.0106565337213562,0.310532442487702,1.16176215824233,0.989400045974622,1.36415125288815,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
family.Rhodospirillaceae.id.2717,Inverse variance weighted,14,-0.112990673577467,0.0618419126457927,0.0676864004470793,-0.23420082236322,0.00821947520828714,0.893158990055302,0.791202908702147,1.00825334783611,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
phylum.Euryarchaeota.id.55,Inverse variance weighted,11,-0.0819444247538305,0.0460511061381372,0.075170341278705,-0.172204592784579,0.00831574327691831,0.921323160034993,0.841806927925571,1.00835041511076,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
class.Deltaproteobacteria.id.3087,Inverse variance weighted,13,-0.133483840117755,0.0778600466886784,0.086453930632574,-0.286089531627564,0.0191218513920551,0.875041609432731,0.75119535719309,1.01930584488664,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
class.Coriobacteriia.id.809,Inverse variance weighted,13,0.153183044929044,0.0894633899327506,0.0868519336973105,-0.022165199339147,0.328531289197235,1.16553830529438,0.978078643758607,1.38892669804962,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
family.Coriobacteriaceae.id.811,Inverse variance weighted,13,0.153183044929044,0.0894633899327506,0.0868519336973105,-0.022165199339147,0.328531289197235,1.16553830529438,0.978078643758607,1.38892669804962,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
order.Coriobacteriales.id.810,Inverse variance weighted,13,0.153183044929044,0.0894633899327506,0.0868519336973105,-0.022165199339147,0.328531289197235,1.16553830529438,0.978078643758607,1.38892669804962,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
family.Christensenellaceae.id.1866,Inverse variance weighted,10,-0.207478996517339,0.124031565079635,0.0943682714235931,-0.450580864073425,0.0356228710387463,0.812630309660473,0.637257883884316,1.03626496725893,OK,方法成功运行,0.945403083496523,NO_PRIMARY_EVIDENCE,主分析未见统计学证据（IVW P>=0.05）
